Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
Capital Home Loans Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,31.17%,,,
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2024-07-01 to 2024-12-31,31.15%,,,16.67%,,
Car Care Plan Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,22.60%,,
Carfinance247 Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,17.92%,,
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,37.77%,,
Castelan Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,30.67%,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2024-07-01 to 2024-12-31,42.91%,,35.72%,,,
Chetwood Financial Limited,NO GROUP,no,2024-04-01 to 2024-09-30,20.37%,,,,,
Chubb European Group SE,CHUBB LIMITED,yes,2024-07-01 to 2024-12-31,,,,62.85%,,
Citibank UK Limited,CITI GROUP,no,2024-07-01 to 2024-12-31,11.35%,,,,36.36%,
ClearBank Limited,NO GROUP,no,2024-07-01 to 2024-12-31,58.18%,,,,,
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2024-02-01 to 2024-07-31,61.36%,,,0.00%,,
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2024-04-01 to 2024-09-30,72.54%,100.00%,64.31%,50.00%,85.71%,
Cofunds Limited,AEGON N.V.,no,2024-07-01 to 2024-12-31,,46.96%,,,57.44%,
Complete Cover Group Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,42.61%,,
Connells Limited,SKIPTON BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,,,46.63%,33.04%,,
CORGI HomePlan Ltd,OVO GROUP,no,2024-07-01 to 2024-12-31,,,,71.74%,,
Countrywide Assured Plc,NO GROUP,no,2024-07-01 to 2024-12-31,,62.11%,,25.00%,73.33%,
Coutts & Company,NATWEST GROUP,no,2024-07-01 to 2024-12-31,47.06%,60.00%,58.33%,35.71%,72.00%,
Covea Insurance plc,COVEA GROUP,yes,2024-07-01 to 2024-12-31,,,,42.07%,,
Coventry Building Society,NO GROUP,yes,2024-07-01 to 2024-12-31,63.87%,,75.42%,100.00%,,
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2024-07-01 to 2024-12-31,33.43%,,,,,
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2024-07-01 to 2024-12-31,40.27%,,,,,
Cynergy Bank Plc,CYNERGY CAPITAL LTD,no,2024-07-01 to 2024-12-31,80.52%,,75.00%,,,
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2024-04-01 to 2024-09-30,,,,54.18%,,
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2024-04-01 to 2024-09-30,,,48.75%,,,
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,74.42%,,,72.73%,
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2024-07-01 to 2024-12-31,,60.00%,,,37.59%,
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,45.48%,,
esure Insurance Limited,ESURE GROUP PLC,yes,2024-07-01 to 2024-12-31,,,,73.39%,,
EUI Limited,ADMIRAL GROUP PLC,yes,2024-07-01 to 2024-12-31,,,,61.60%,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,2024-07-01 to 2024-12-31,,,,9.29%,,
Experian Limited,EXPERIAN PLC,no,2024-04-01 to 2024-09-30,,,,0.00%,,
Extracover Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,32.35%,,
Family Assurance Friendly Society Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,20.00%,,60.96%,52.94%,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2024-07-01 to 2024-12-31,40.64%,,,,52.59%,
FCE Bank Plc,FORD MOTOR CO,no,2024-07-01 to 2024-12-31,55.33%,,,,,
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2024-07-01 to 2024-12-31,,61.76%,,,53.42%,
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,50.58%,,
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2024-07-01 to 2024-12-31,,,,1.92%,,
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,2024-07-01 to 2024-12-31,,46.67%,,36.84%,41.94%,
Forsakringsaktiebolaget Agria (publ),NO GROUP,no,2024-07-01 to 2024-12-31,,,,15.65%,,
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,54.38%,,
Funding Circle Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,30.00%,
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,73.33%,,,49.37%,
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,yes,2024-07-01 to 2024-12-31,,78.73%,,,50.68%,
Hastings Insurance Services Limited,HASTINGS GROUP,yes,2024-07-01 to 2024-12-31,,,,50.62%,,
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,75.00%,
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,45.57%,,
Highway Insurance Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,41.07%,,
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2024-07-01 to 2024-12-31,,,,51.98%,,
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2024-03-01 to 2024-08-31,26.25%,,,,,
Homeserve Membership Limited,HOMESERVE PLC,no,2024-07-01 to 2024-12-31,,,,28.21%,,
Hood Travel Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,22.28%,,
Howserv Limited,STAYSURE HOLDINGS LTD,no,2024-07-01 to 2024-12-31,,,,41.13%,,
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2024-07-01 to 2024-12-31,59.91%,50.00%,59.33%,50.10%,70.10%,
Hyundai Capital UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,,
I Go 4 Ltd.,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,31.91%,,
Ikano Bank AB (publ),NO GROUP,no,2024-07-01 to 2024-12-31,34.60%,,,,,
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,66.10%,,
Inter Partner Assistance SA,NO GROUP,no,2024-07-01 to 2024-12-31,,,,84.01%,,
Interactive Brokers (U.K.) Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,13.11%,
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,62.06%,,,41.77%,
Invesco Fund Managers Limited,INVESCO LTD,no,2024-07-01 to 2024-12-31,,,,,61.43%,
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2024-03-01 to 2024-08-31,,,,0.00%,,
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2024-07-01 to 2024-12-31,40.32%,,,,,
James Hay Administration Company Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,77.20%,,,,
Janus Henderson Fund Management UK Limited,JANUS HENDERSON GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,50.26%,
Kensington Mortgage Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,28.40%,,,
Kroo Bank Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,37.79%,,,,,
Landmark Mortgages Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,39.02%,,,
LeasePlan UK Limited,LP GROUP B.V.,no,2024-07-01 to 2024-12-31,,,,71.43%,,
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,61.22%,,58.06%,25.00%,,
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2024-07-01 to 2024-12-31,,72.39%,,,100.00%,
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2024-07-01 to 2024-12-31,,73.71%,,50.12%,,
Lenvi Servicing Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,41.26%,,,
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,82.48%,,63.01%,88.54%,
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,,,50.19%,,
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,66.98%,,
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,yes,2024-07-01 to 2024-12-31,66.77%,31.48%,58.75%,8.92%,26.53%,
London and Country Mortgages Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,67.11%,41.67%,,
M & G Securities Limited,M&G PLC,no,2024-07-01 to 2024-12-31,,,,,60.33%,
ManyPets Ltd,NO GROUP,no,2024-04-01 to 2024-09-30,,,,62.09%,,
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2024-07-01 to 2024-12-31,64.73%,,,34.48%,,
Marshmallow Financial Services Ltd,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,45.42%,,
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,53.54%,,,10.00%,,
MetLife Europe d.a.c.,NO GROUP,no,2024-07-01 to 2024-12-31,,,,55.91%,,
Metro Bank PLC,METRO BANK PLC,no,2024-07-01 to 2024-12-31,43.15%,,70.31%,,,
Monzo Bank Ltd,MONZO BANK LIMITED,no,2024-04-01 to 2024-09-30,32.29%,,,,37.13%,
Moorcroft Debt Recovery Limited,NO GROUP,no,2024-02-01 to 2024-07-31,46.06%,,,,,
MotoNovo Finance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,18.52%,,
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,no,2024-07-01 to 2024-12-31,,,,43.31%,,
National House-Building Council,NO GROUP,no,2024-04-01 to 2024-09-30,,,,63.09%,,
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,no,2024-07-01 to 2024-12-31,63.24%,56.41%,60.58%,9.09%,67.62%,
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2024-04-05 to 2024-10-04,53.29%,0.00%,48.67%,29.86%,37.70%,
Newcastle Building Society,NO GROUP,no,2024-07-01 to 2024-12-31,65.52%,0.00%,41.56%,,88.24%,
Northern Bank Limited,DANSKE BANK A/S,no,2024-07-01 to 2024-12-31,37.91%,,47.83%,,,
Nutmeg Saving and Investment Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,77.25%,,,63.76%,
One Call Insurance Services Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,15.09%,,
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2024-07-01 to 2024-12-31,49.50%,,52.91%,,,
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2024-04-01 to 2024-09-30,68.28%,,57.14%,100.00%,,
People's Administration Services Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,36.69%,,,,
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2024-07-01 to 2024-12-31,,,44.36%,,,
Phoenix Life CA Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,54.22%,,58.31%,60.91%,
Phoenix Life Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,70.99%,16.67%,70.68%,74.90%,
Pinnacle Insurance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,27.89%,,
Post Office Management Services Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,44.47%,,
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,61.39%,,50.58%,0.00%,,
QBE UK Limited,QBE INSURANCE GROUP,no,2024-07-01 to 2024-12-31,,,,43.67%,,
Qmetric Group Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,33.95%,,
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,yes,2024-07-01 to 2024-12-31,,29.67%,0.00%,16.67%,45.33%,
Quilter Life & Pensions Limited,QUILTER GROUP,no,2024-07-01 to 2024-12-31,,66.72%,,,66.67%,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2024-07-01 to 2024-12-31,,,,29.00%,,
RBS Collective Investment Funds Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,36.08%,
ReAssure Life Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,91.70%,,87.24%,94.42%,
ReAssure Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,86.61%,,67.64%,86.55%,
Reassured Ltd,NO GROUP,no,2024-02-01 to 2024-07-31,,,,44.44%,,
Rothesay Life Plc,NO GROUP,no,2024-07-01 to 2024-12-31,,33.63%,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2024-07-01 to 2024-12-31,,,,51.70%,,
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2024-07-01 to 2024-12-31,,,,41.69%,,
Saga Services Limited,SAGA PLC,no,2024-02-01 to 2024-07-31,,,,48.23%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2024-03-01 to 2024-08-31,53.16%,,64.71%,56.13%,,
Santander UK Plc,SANTANDER UK GROUP,yes,2024-07-01 to 2024-12-31,48.06%,55.00%,61.53%,26.72%,42.59%,
Scottish Equitable Plc,AEGON N.V.,no,2024-07-01 to 2024-12-31,,63.01%,,50.00%,83.33%,
Scottish Friendly Assurance Society Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,81.53%,,46.22%,76.96%,
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,87.71%,,79.80%,90.07%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,77.50%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2024-07-01 to 2024-12-31,33.22%,,0.00%,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2024-07-01 to 2024-12-31,67.19%,,49.67%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2024-07-01 to 2024-12-31,,,,64.99%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,38.02%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,82.92%,82.98%,70.02%,54.55%,69.49%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2024-07-01 to 2024-12-31,,,,44.52%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,41.27%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2024-07-01 to 2024-12-31,,76.70%,,75.00%,73.44%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2024-07-01 to 2024-12-31,0.00%,52.62%,38.46%,4.88%,54.89%,
Starling Bank Limited,NO GROUP,no,2024-04-01 to 2024-09-30,43.02%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2024-07-01 to 2024-12-31,,,,38.29%,,
Suffolk Life Pensions Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,75.31%,,,,
Swift 1st Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,15.83%,,,
Tandem Bank Limited,NO GROUP,no,2024-07-01 to 2024-12-31,59.55%,,50.00%,,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,2024-07-01 to 2024-12-31,,,,65.16%,,
Telefonica UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,79.61%,,
Tesco Personal Finance Limited,NO GROUP,no,2024-03-01 to 2024-08-31,43.50%,,,36.62%,,
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2024-03-01 to 2024-08-31,,,,61.07%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2024-07-01 to 2024-12-31,67.43%,50.00%,77.51%,66.67%,100.00%,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2024-04-01 to 2024-09-30,,,52.17%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2024-07-01 to 2024-12-31,,53.09%,,63.34%,33.33%,
The Prudential Assurance Company Limited,M&G PLC,yes,2024-07-01 to 2024-12-31,,84.57%,48.39%,88.24%,89.58%,
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2024-07-01 to 2024-12-31,64.92%,57.14%,57.31%,17.14%,57.14%,
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,no,2024-07-01 to 2024-12-31,,67.40%,,49.17%,60.89%,
Topaz Finance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,35.62%,,,
Tradex Insurance Company PLC,NO GROUP,no,2024-07-01 to 2024-12-31,,,,68.61%,,
Trading 212 UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,11.96%,,,,12.65%,
Triodos Bank UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,42.74%,,,,23.68%,
TSB Bank plc,BANCO DE SABADELL SA,no,2024-07-01 to 2024-12-31,65.93%,,55.00%,58.33%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2024-07-01 to 2024-12-31,,,,69.32%,,
U.S. Bank Europe DAC,NO GROUP,no,2024-07-01 to 2024-12-31,19.18%,,,,,
UK Mortgage Lending Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,58.06%,,,
USAY BUSINESS LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,17.17%,,
Utility Warehouse Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,21.67%,,
"Vanguard Asset Management, Ltd",NO GROUP,no,2024-07-01 to 2024-12-31,,76.79%,,,62.80%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2024-07-01 to 2024-12-31,19.92%,,,,,
Virgin Money Unit Trust Managers Ltd,NO GROUP,no,2024-04-01 to 2024-09-30,,92.09%,,,91.67%,
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,2024-07-01 to 2024-12-31,,,,53.44%,,
Vodafone Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,48.64%,,
Volkswagen Financial Services (UK) Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,0.00%,,
Wesleyan Assurance Society,NO GROUP,no,2024-07-01 to 2024-12-31,,92.08%,,93.23%,90.18%,
Xbridge Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,42.46%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,yes,2024-07-01 to 2024-12-31,75.49%,0.00%,67.12%,11.11%,,
Zempler Bank Limited,NO GROUP,no,2024-04-01 to 2024-09-30,46.92%,,,,,
Zopa Bank Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,45.40%,,,,,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2024-07-01 to 2024-12-31,,39.58%,0.00%,44.66%,46.02%,
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,no,2024-07-01 to 2024-12-31,,,,62.91%,,
abrdn Investments Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,33.14%,
Accelerant Insurance Europe SA/NV UK Branch,NO GROUP,no,2023-07-01 to 2023-12-31,,,,65.15%,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,82.61%,,69.97%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,33.05%,,
Acm Ulr Limited,BGL GROUP,no,2023-07-01 to 2023-12-31,,,,60.31%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,53.22%,,
Action 365 Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,51.17%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2023-03-01 to 2023-08-31,,,,20.68%,,
Advanced Payment Solutions Limited,NO GROUP,no,2023-04-01 to 2023-09-30,20.35%,,,,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,64.56%,,
Affinity Insurance Solutions Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,21.61%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2023-07-01 to 2023-12-31,,,,43.87%,,
Ageas Retail Limited,AGEAS SA-NV,no,2023-07-01 to 2023-12-31,,,,39.35%,,
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2023-07-01 to 2023-12-31,54.72%,,65.22%,100.00%,50.00%,
AIG Life Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,44.85%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2023-07-01 to 2023-12-31,,,,55.23%,,
AJ Bell Management Limited,NO GROUP,yes,2023-04-01 to 2023-09-30,,51.78%,,,,
AJ Bell Securities Limited,NO GROUP,no,2023-04-01 to 2023-09-30,28.95%,37.21%,,,51.67%,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2023-07-01 to 2023-12-31,65.38%,,63.59%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2023-07-01 to 2023-12-31,,,,68.21%,,
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2023-07-01 to 2023-12-31,36.11%,,,17.19%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,2023-07-01 to 2023-12-31,,,,55.64%,,
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,yes,2023-07-01 to 2023-12-31,,,,46.42%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,33.82%,,
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,2023-07-01 to 2023-12-31,,,,53.62%,,
