Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
AXA PPP Healthcare Limited,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,64.77%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2024-07-01 to 2024-12-31,50.45%,,27.46%,2.17%,,
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,63.09%,8.33%,42.36%,33.78%,19.57%,
Barclays Bank Plc,BARCLAYS PLC,yes,2024-07-01 to 2024-12-31,72.42%,13.33%,0.00%,0.00%,29.33%,
Barclays Bank UK PLC,BARCLAYS PLC,yes,2024-07-01 to 2024-12-31,56.38%,32.00%,40.55%,16.67%,19.61%,
BISL Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,49.77%,,
British Gas Services Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,67.28%,,
BUPA Insurance Services Limited,BUPA GROUP,yes,2024-07-01 to 2024-12-31,,,,63.14%,,
Cabot Credit Management Group Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,10.71%,,,
Call Assist Ltd,CALL ASSIST LIMITED,yes,2024-05-01 to 2024-10-31,,,,34.91%,,
Capital Home Loans Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,9.81%,,,
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2024-07-01 to 2024-12-31,18.11%,,,0.00%,,
Car Care Plan Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,23.85%,,
Carfinance247 Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,10.98%,,
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,73.16%,,
Castelan Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,30.67%,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2024-07-01 to 2024-12-31,33.33%,,10.59%,,,
Chetwood Financial Limited,NO GROUP,no,2024-04-01 to 2024-09-30,2.47%,,,,,
Chubb European Group SE,CHUBB LIMITED,yes,2024-07-01 to 2024-12-31,,,,14.84%,,
Citibank UK Limited,CITI GROUP,no,2024-07-01 to 2024-12-31,59.63%,,,,36.36%,
ClearBank Limited,NO GROUP,no,2024-07-01 to 2024-12-31,44.61%,,,,,
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2024-02-01 to 2024-07-31,17.97%,,,0.00%,,
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2024-04-01 to 2024-09-30,38.28%,0.00%,10.81%,25.00%,14.29%,
Cofunds Limited,AEGON N.V.,no,2024-07-01 to 2024-12-31,,5.22%,,,7.71%,
Complete Cover Group Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,26.73%,,
Connells Limited,SKIPTON BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,,,2.24%,8.93%,,
CORGI HomePlan Ltd,OVO GROUP,no,2024-07-01 to 2024-12-31,,,,9.79%,,
Countrywide Assured Plc,NO GROUP,no,2024-07-01 to 2024-12-31,,24.80%,,26.16%,18.33%,
Coutts & Company,NATWEST GROUP,no,2024-07-01 to 2024-12-31,50.06%,0.00%,11.11%,28.57%,4.00%,
Covea Insurance plc,COVEA GROUP,yes,2024-07-01 to 2024-12-31,,,,20.53%,,
Coventry Building Society,NO GROUP,yes,2024-07-01 to 2024-12-31,65.04%,,57.96%,0.00%,,
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2024-07-01 to 2024-12-31,15.45%,,,,,
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2024-07-01 to 2024-12-31,6.16%,,,,,
Cynergy Bank Plc,CYNERGY CAPITAL LTD,no,2024-07-01 to 2024-12-31,17.03%,,,,,
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2024-04-01 to 2024-09-30,,,,77.67%,,
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2024-04-01 to 2024-09-30,,,3.39%,,,
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,16.61%,,,12.79%,
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2024-07-01 to 2024-12-31,,0.00%,,,47.31%,
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,16.42%,,
esure Insurance Limited,ESURE GROUP PLC,yes,2024-07-01 to 2024-12-31,,,,38.36%,,
EUI Limited,ADMIRAL GROUP PLC,yes,2024-07-01 to 2024-12-31,,,,46.37%,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,2024-07-01 to 2024-12-31,,,,76.94%,,
Experian Limited,EXPERIAN PLC,no,2024-04-01 to 2024-09-30,,,,33.33%,,
Extracover Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,55.42%,,
Family Assurance Friendly Society Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,0.00%,,54.91%,56.47%,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2024-07-01 to 2024-12-31,63.93%,,,,55.59%,
FCE Bank Plc,FORD MOTOR CO,no,2024-07-01 to 2024-12-31,64.00%,,,,,
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2024-07-01 to 2024-12-31,,12.52%,,,17.90%,
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,59.24%,,
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2024-07-01 to 2024-12-31,,,,1.92%,,
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,2024-07-01 to 2024-12-31,,40.00%,,50.00%,51.65%,
Forsakringsaktiebolaget Agria (publ),NO GROUP,no,2024-07-01 to 2024-12-31,,,,68.99%,,
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,31.43%,,
Funding Circle Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,5.00%,
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,26.67%,,,35.60%,
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,yes,2024-07-01 to 2024-12-31,,13.89%,,,23.83%,
Hastings Insurance Services Limited,HASTINGS GROUP,yes,2024-07-01 to 2024-12-31,,,,29.54%,,
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,42.60%,
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,13.92%,,
Highway Insurance Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,23.03%,,
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2024-07-01 to 2024-12-31,,,,6.62%,,
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2024-03-01 to 2024-08-31,30.76%,,,,,
Homeserve Membership Limited,HOMESERVE PLC,no,2024-07-01 to 2024-12-31,,,,26.85%,,
Hood Travel Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,45.64%,,
Howserv Limited,STAYSURE HOLDINGS LTD,no,2024-07-01 to 2024-12-31,,,,27.51%,,
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2024-07-01 to 2024-12-31,74.24%,6.67%,40.49%,26.17%,18.57%,
Hyundai Capital UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,,
I Go 4 Ltd.,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,41.77%,,
Ikano Bank AB (publ),NO GROUP,no,2024-07-01 to 2024-12-31,24.91%,,,,,
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,32.95%,,
Inter Partner Assistance SA,NO GROUP,no,2024-07-01 to 2024-12-31,,,,36.62%,,
Interactive Brokers (U.K.) Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,15.08%,
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,4.67%,,,24.45%,
Invesco Fund Managers Limited,INVESCO LTD,no,2024-07-01 to 2024-12-31,,,,,1.92%,
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2024-03-01 to 2024-08-31,,,,0.00%,,
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2024-07-01 to 2024-12-31,38.54%,,,,,
James Hay Administration Company Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,3.47%,,,,
Janus Henderson Fund Management UK Limited,JANUS HENDERSON GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,31.52%,
Kensington Mortgage Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,32.68%,,,
Kroo Bank Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,0.79%,,,,,
Landmark Mortgages Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,28.95%,,,
LeasePlan UK Limited,LP GROUP B.V.,no,2024-07-01 to 2024-12-31,,,,23.81%,,
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,64.92%,,51.46%,75.00%,,
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2024-07-01 to 2024-12-31,,53.73%,,,50.00%,
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2024-07-01 to 2024-12-31,,20.95%,,33.84%,,
Lenvi Servicing Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,0.37%,,,
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,39.74%,,65.56%,58.33%,
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,,,30.68%,,
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,24.35%,,
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,yes,2024-07-01 to 2024-12-31,62.41%,1.85%,41.07%,33.86%,20.41%,
London and Country Mortgages Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,15.12%,22.22%,,
M & G Securities Limited,M&G PLC,no,2024-07-01 to 2024-12-31,,,,,18.37%,
ManyPets Ltd,NO GROUP,no,2024-04-01 to 2024-09-30,,,,3.32%,,
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2024-07-01 to 2024-12-31,57.71%,,,59.20%,,
Marshmallow Financial Services Ltd,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,4.01%,,
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,62.63%,,,30.00%,,
MetLife Europe d.a.c.,NO GROUP,no,2024-07-01 to 2024-12-31,,,,11.13%,,
Metro Bank PLC,METRO BANK PLC,no,2024-07-01 to 2024-12-31,26.38%,,36.24%,,,
Monzo Bank Ltd,MONZO BANK LIMITED,no,2024-04-01 to 2024-09-30,3.42%,100.00%,,,8.98%,
Moorcroft Debt Recovery Limited,NO GROUP,no,2024-02-01 to 2024-07-31,20.54%,,,,,
MotoNovo Finance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,0.00%,,
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,no,2024-07-01 to 2024-12-31,,,,35.12%,,
National House-Building Council,NO GROUP,no,2024-04-01 to 2024-09-30,,,,2.11%,,
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,no,2024-07-01 to 2024-12-31,48.14%,2.56%,51.79%,29.75%,2.86%,
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2024-04-05 to 2024-10-04,55.58%,25.00%,39.44%,31.94%,16.39%,
Newcastle Building Society,NO GROUP,no,2024-07-01 to 2024-12-31,53.97%,0.00%,77.06%,,82.35%,
Northern Bank Limited,DANSKE BANK A/S,no,2024-07-01 to 2024-12-31,40.23%,,15.94%,0.00%,,
Nutmeg Saving and Investment Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,8.98%,,,18.29%,
One Call Insurance Services Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,73.93%,,
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2024-07-01 to 2024-12-31,34.48%,,27.89%,,,
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2024-04-01 to 2024-09-30,26.77%,,31.20%,66.67%,,
People's Administration Services Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,42.48%,,,,
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2024-07-01 to 2024-12-31,,,18.59%,,,
Phoenix Life CA Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,22.08%,,21.94%,12.73%,
Phoenix Life Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,34.08%,16.67%,32.88%,30.04%,
Pinnacle Insurance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,41.71%,,
Post Office Management Services Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,20.04%,,
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,53.00%,,45.24%,20.00%,,
QBE UK Limited,QBE INSURANCE GROUP,no,2024-07-01 to 2024-12-31,,,,13.35%,,
Qmetric Group Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,25.13%,,
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,yes,2024-07-01 to 2024-12-31,,0.00%,0.00%,0.00%,0.00%,
Quilter Life & Pensions Limited,QUILTER GROUP,no,2024-07-01 to 2024-12-31,,1.29%,,,3.42%,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2024-07-01 to 2024-12-31,,,,46.14%,,
RBS Collective Investment Funds Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,38.83%,
ReAssure Life Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,37.55%,,34.69%,37.21%,
ReAssure Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,36.72%,,30.48%,39.06%,
Reassured Ltd,NO GROUP,no,2024-02-01 to 2024-07-31,,,,65.97%,,
Rothesay Life Plc,NO GROUP,no,2024-07-01 to 2024-12-31,,8.19%,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2024-07-01 to 2024-12-31,,,,43.95%,,
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2024-07-01 to 2024-12-31,,,,69.53%,,
Saga Services Limited,SAGA PLC,no,2024-02-01 to 2024-07-31,,,,84.32%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2024-03-01 to 2024-08-31,48.65%,,29.41%,6.61%,,
Santander UK Plc,SANTANDER UK GROUP,yes,2024-07-01 to 2024-12-31,59.50%,17.50%,69.05%,12.21%,20.37%,
Scottish Equitable Plc,AEGON N.V.,no,2024-07-01 to 2024-12-31,,30.68%,,37.50%,62.78%,
Scottish Friendly Assurance Society Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,11.46%,,17.37%,23.89%,
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,16.52%,,19.42%,19.21%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,39.32%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2024-07-01 to 2024-12-31,11.96%,,,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2024-07-01 to 2024-12-31,48.70%,,11.09%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2024-07-01 to 2024-12-31,,,,1.33%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,30.87%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,46.15%,2.13%,50.75%,27.27%,9.32%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2024-07-01 to 2024-12-31,,,,33.01%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,56.92%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2024-07-01 to 2024-12-31,,3.91%,,12.50%,8.71%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2024-07-01 to 2024-12-31,0.00%,0.13%,0.00%,0.00%,0.21%,
Starling Bank Limited,NO GROUP,no,2024-04-01 to 2024-09-30,7.43%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2024-07-01 to 2024-12-31,,,,13.14%,,
Suffolk Life Pensions Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,12.76%,,,,
Swift 1st Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,45.18%,,,
Tandem Bank Limited,NO GROUP,no,2024-07-01 to 2024-12-31,30.34%,,0.00%,,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,2024-07-01 to 2024-12-31,,,,14.08%,,
Telefonica UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,33.55%,,
Tesco Personal Finance Limited,NO GROUP,no,2024-03-01 to 2024-08-31,58.77%,,,41.20%,,
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2024-03-01 to 2024-08-31,,,,27.73%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2024-07-01 to 2024-12-31,76.61%,0.00%,33.28%,33.33%,0.00%,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2024-04-01 to 2024-09-30,,,25.35%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2024-07-01 to 2024-12-31,,1.23%,,38.44%,2.08%,
The Prudential Assurance Company Limited,M&G PLC,yes,2024-07-01 to 2024-12-31,,7.16%,3.23%,4.52%,7.87%,
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2024-07-01 to 2024-12-31,47.84%,0.00%,37.03%,31.43%,3.57%,
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,no,2024-07-01 to 2024-12-31,,26.11%,,32.89%,36.00%,
Topaz Finance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,37.89%,,,
Tradex Insurance Company PLC,NO GROUP,no,2024-07-01 to 2024-12-31,,,,41.04%,,
Trading 212 UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,0.00%,,,,0.67%,
Triodos Bank UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,41.45%,,,,34.21%,
TSB Bank plc,BANCO DE SABADELL SA,no,2024-07-01 to 2024-12-31,61.17%,,62.62%,37.50%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2024-07-01 to 2024-12-31,,,,50.29%,,
U.S. Bank Europe DAC,NO GROUP,no,2024-07-01 to 2024-12-31,27.21%,,,,,
UK Mortgage Lending Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,36.87%,,,
USAY BUSINESS LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,0.64%,,
Utility Warehouse Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,74.89%,,
"Vanguard Asset Management, Ltd",NO GROUP,no,2024-07-01 to 2024-12-31,,11.66%,,,20.37%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2024-07-01 to 2024-12-31,12.47%,,,,,
Virgin Money Unit Trust Managers Ltd,NO GROUP,no,2024-04-01 to 2024-09-30,,0.13%,,,0.23%,
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,2024-07-01 to 2024-12-31,,,,42.46%,,
Vodafone Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,67.01%,,
Volkswagen Financial Services (UK) Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,0.00%,,
Wesleyan Assurance Society,NO GROUP,no,2024-07-01 to 2024-12-31,,36.96%,,42.11%,42.86%,
Xbridge Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,18.35%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,yes,2024-07-01 to 2024-12-31,39.05%,0.00%,36.93%,0.00%,,
Zempler Bank Limited,NO GROUP,no,2024-04-01 to 2024-09-30,23.29%,,,,,
Zopa Bank Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,55.10%,,,,,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2024-07-01 to 2024-12-31,,20.40%,0.00%,21.86%,17.61%,
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,no,2024-07-01 to 2024-12-31,,,,16.30%,,
abrdn Investments Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,27.94%,
Accelerant Insurance Europe SA/NV UK Branch,NO GROUP,no,2023-07-01 to 2023-12-31,,,,15.64%,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,43.48%,,31.46%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,25.05%,,
Acm Ulr Limited,BGL GROUP,no,2023-07-01 to 2023-12-31,,,,1.71%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,17.22%,,
Action 365 Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,4.94%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2023-03-01 to 2023-08-31,,,,94.16%,,
Advanced Payment Solutions Limited,NO GROUP,no,2023-04-01 to 2023-09-30,28.03%,,,,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,29.37%,,
Affinity Insurance Solutions Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,49.30%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2023-07-01 to 2023-12-31,,,,28.11%,,
Ageas Retail Limited,AGEAS SA-NV,no,2023-07-01 to 2023-12-31,,,,41.32%,,
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2023-07-01 to 2023-12-31,34.98%,,13.04%,0.00%,50.00%,
AIG Life Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,7.59%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2023-07-01 to 2023-12-31,,,,9.44%,,
AJ Bell Management Limited,NO GROUP,yes,2023-04-01 to 2023-09-30,,41.39%,,,,
AJ Bell Securities Limited,NO GROUP,no,2023-04-01 to 2023-09-30,26.32%,17.05%,,,34.17%,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2023-07-01 to 2023-12-31,47.75%,,20.08%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2023-07-01 to 2023-12-31,,,,39.45%,,
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2023-07-01 to 2023-12-31,15.78%,,,4.69%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,2023-07-01 to 2023-12-31,,,,42.13%,,
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,yes,2023-07-01 to 2023-12-31,,,,16.12%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,17.43%,,
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,2023-07-01 to 2023-12-31,,,,25.37%,,
