Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Aviva Health UK Limited,AVIVA PLC,no,2024-07-01 to 2024-12-31,,,,47.98%,,
Aviva Insurance Limited,AVIVA PLC,no,2024-07-01 to 2024-12-31,,,,65.58%,,
Aviva Life Services UK Limited,AVIVA PLC,yes,2024-07-01 to 2024-12-31,,55.73%,44.72%,57.16%,45.23%,
Aviva Protection UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,66.71%,,
AWP Assistance UK Ltd,ALLIANZ SE,yes,2024-07-01 to 2024-12-31,,,,72.29%,,
AWP P&C S.A.,ALLIANZ SE,yes,2024-07-01 to 2024-12-31,,,,77.21%,,
AXA Insurance Designated Activity Company,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,10.62%,,
AXA Insurance UK Plc,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,52.45%,,
AXA PPP Healthcare Limited,AXA GROUP,no,2024-07-01 to 2024-12-31,,,,32.52%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2024-07-01 to 2024-12-31,44.73%,,64.78%,95.65%,,
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,32.39%,58.33%,54.80%,58.78%,69.57%,
Barclays Bank Plc,BARCLAYS PLC,yes,2024-07-01 to 2024-12-31,25.52%,80.00%,100.00%,100.00%,64.07%,
Barclays Bank UK PLC,BARCLAYS PLC,yes,2024-07-01 to 2024-12-31,42.33%,48.00%,55.35%,58.59%,41.18%,
BISL Limited,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,50.02%,,
British Gas Services Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,29.41%,,
BUPA Insurance Services Limited,BUPA GROUP,yes,2024-07-01 to 2024-12-31,,,,36.52%,,
Cabot Credit Management Group Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,78.57%,,,
Call Assist Ltd,CALL ASSIST LIMITED,yes,2024-05-01 to 2024-10-31,,,,64.94%,,
Capital Home Loans Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,83.54%,,,
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2024-07-01 to 2024-12-31,80.88%,,,83.33%,,
Car Care Plan Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,76.06%,,
Carfinance247 Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,89.02%,,
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,26.62%,,
Castelan Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,68.97%,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2024-07-01 to 2024-12-31,66.67%,,88.88%,,,
Chetwood Financial Limited,NO GROUP,no,2024-04-01 to 2024-09-30,97.53%,,,,,
Chubb European Group SE,CHUBB LIMITED,yes,2024-07-01 to 2024-12-31,,,,82.96%,,
Citibank UK Limited,CITI GROUP,no,2024-07-01 to 2024-12-31,40.37%,,,,63.64%,
ClearBank Limited,NO GROUP,no,2024-07-01 to 2024-12-31,55.27%,,,,,
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2024-02-01 to 2024-07-31,81.36%,,,100.00%,,
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2024-04-01 to 2024-09-30,44.76%,100.00%,57.14%,62.50%,47.62%,
Cofunds Limited,AEGON N.V.,no,2024-07-01 to 2024-12-31,,83.48%,,,84.48%,
Complete Cover Group Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,73.07%,,
Connells Limited,SKIPTON BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,,,94.26%,90.18%,,
CORGI HomePlan Ltd,OVO GROUP,no,2024-07-01 to 2024-12-31,,,,87.52%,,
Countrywide Assured Plc,NO GROUP,no,2024-07-01 to 2024-12-31,,34.96%,,34.88%,45.00%,
Coutts & Company,NATWEST GROUP,no,2024-07-01 to 2024-12-31,48.78%,80.00%,69.44%,71.43%,65.33%,
Covea Insurance plc,COVEA GROUP,yes,2024-07-01 to 2024-12-31,,,,74.71%,,
Coventry Building Society,NO GROUP,yes,2024-07-01 to 2024-12-31,34.87%,,41.76%,100.00%,,
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2024-07-01 to 2024-12-31,77.41%,,,,,
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2024-07-01 to 2024-12-31,84.53%,,,,,
Cynergy Bank Plc,CYNERGY CAPITAL LTD,no,2024-07-01 to 2024-12-31,82.54%,,100.00%,,,
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2024-04-01 to 2024-09-30,,,,21.77%,,
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2024-04-01 to 2024-09-30,,,57.13%,100.00%,,
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,36.21%,,,40.07%,
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2024-07-01 to 2024-12-31,,100.00%,,,51.60%,
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,75.52%,,
esure Insurance Limited,ESURE GROUP PLC,yes,2024-07-01 to 2024-12-31,,,,58.48%,,
EUI Limited,ADMIRAL GROUP PLC,yes,2024-07-01 to 2024-12-31,,,,50.23%,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,2024-07-01 to 2024-12-31,,,,21.34%,,
Experian Limited,EXPERIAN PLC,no,2024-04-01 to 2024-09-30,,,,66.67%,,
Extracover Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,44.58%,,
Family Assurance Friendly Society Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,100.00%,,44.84%,43.53%,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2024-07-01 to 2024-12-31,36.07%,,,,44.41%,
FCE Bank Plc,FORD MOTOR CO,no,2024-07-01 to 2024-12-31,36.00%,,,,,
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2024-07-01 to 2024-12-31,,74.14%,,,71.11%,
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,38.99%,,
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2024-07-01 to 2024-12-31,,,,57.69%,,
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,2024-07-01 to 2024-12-31,,46.67%,,28.95%,39.22%,
Forsakringsaktiebolaget Agria (publ),NO GROUP,no,2024-07-01 to 2024-12-31,,,,31.01%,,
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,66.75%,,
Funding Circle Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,95.00%,
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,46.67%,,,60.64%,
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,yes,2024-07-01 to 2024-12-31,,84.08%,,,73.85%,
Hastings Insurance Services Limited,HASTINGS GROUP,yes,2024-07-01 to 2024-12-31,,,,69.21%,,
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,54.73%,
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,84.29%,,
Highway Insurance Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,60.84%,,
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2024-07-01 to 2024-12-31,,,,91.30%,,
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2024-03-01 to 2024-08-31,68.03%,,,,,
Homeserve Membership Limited,HOMESERVE PLC,no,2024-07-01 to 2024-12-31,,,,72.43%,,
Hood Travel Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,52.35%,,
Howserv Limited,STAYSURE HOLDINGS LTD,no,2024-07-01 to 2024-12-31,,,,72.13%,,
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2024-07-01 to 2024-12-31,25.44%,53.33%,58.51%,71.40%,77.16%,
Hyundai Capital UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,,
I Go 4 Ltd.,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,57.93%,,
Ikano Bank AB (publ),NO GROUP,no,2024-07-01 to 2024-12-31,70.17%,,,,,
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2024-07-01 to 2024-12-31,,,,65.93%,,
Inter Partner Assistance SA,NO GROUP,no,2024-07-01 to 2024-12-31,,,,31.35%,,
Interactive Brokers (U.K.) Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,81.87%,
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,76.07%,,,71.65%,
Invesco Fund Managers Limited,INVESCO LTD,no,2024-07-01 to 2024-12-31,,,,,96.68%,
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2024-03-01 to 2024-08-31,,,,100.00%,,
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2024-07-01 to 2024-12-31,61.43%,,,,,
James Hay Administration Company Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,78.07%,,,,
Janus Henderson Fund Management UK Limited,JANUS HENDERSON GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,65.50%,
Kensington Mortgage Company Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,66.25%,,,
Kroo Bank Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,97.63%,,,,,
Landmark Mortgages Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,70.07%,,,
LeasePlan UK Limited,LP GROUP B.V.,no,2024-07-01 to 2024-12-31,,,,47.62%,,
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,34.98%,,48.47%,25.00%,100.00%,
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2024-07-01 to 2024-12-31,,45.52%,,,50.00%,
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2024-07-01 to 2024-12-31,,68.83%,,60.21%,,
Lenvi Servicing Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,37.65%,,,
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,50.21%,,33.20%,38.19%,
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2024-07-01 to 2024-12-31,,,,49.21%,,
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,71.34%,,
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,yes,2024-07-01 to 2024-12-31,33.11%,81.48%,55.49%,61.42%,63.27%,
London and Country Mortgages Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,84.72%,77.78%,,
M & G Securities Limited,M&G PLC,no,2024-07-01 to 2024-12-31,,,,,78.70%,
ManyPets Ltd,NO GROUP,no,2024-04-01 to 2024-09-30,,,,92.06%,,
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2024-07-01 to 2024-12-31,41.65%,,,40.23%,,
Marshmallow Financial Services Ltd,NO GROUP,yes,2024-07-01 to 2024-12-31,,,,91.70%,,
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,35.41%,,,70.00%,,
MetLife Europe d.a.c.,NO GROUP,no,2024-07-01 to 2024-12-31,,,,78.16%,,
Metro Bank PLC,METRO BANK PLC,no,2024-07-01 to 2024-12-31,73.45%,,60.26%,,,
Monzo Bank Ltd,MONZO BANK LIMITED,no,2024-04-01 to 2024-09-30,79.75%,,,,83.83%,
Moorcroft Debt Recovery Limited,NO GROUP,no,2024-02-01 to 2024-07-31,79.46%,,,,,
MotoNovo Finance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,77.78%,,
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,no,2024-07-01 to 2024-12-31,,,,64.46%,,
National House-Building Council,NO GROUP,no,2024-04-01 to 2024-09-30,,,,96.84%,,
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,no,2024-07-01 to 2024-12-31,47.28%,46.15%,40.19%,58.68%,61.90%,
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2024-04-05 to 2024-10-04,44.11%,75.00%,60.00%,66.67%,81.97%,
Newcastle Building Society,NO GROUP,no,2024-07-01 to 2024-12-31,45.85%,100.00%,22.94%,,11.76%,
Northern Bank Limited,DANSKE BANK A/S,no,2024-07-01 to 2024-12-31,59.77%,,84.06%,100.00%,,
Nutmeg Saving and Investment Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,90.42%,,,81.38%,
One Call Insurance Services Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,25.65%,,
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2024-07-01 to 2024-12-31,64.70%,,69.00%,,,
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2024-04-01 to 2024-09-30,72.17%,,67.29%,33.33%,,
People's Administration Services Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,54.67%,,,,
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2024-07-01 to 2024-12-31,,,80.23%,,,
Phoenix Life CA Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,76.79%,,77.74%,87.27%,
Phoenix Life Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,50.92%,66.67%,55.49%,52.13%,
Pinnacle Insurance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,57.96%,,
Post Office Management Services Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,79.96%,,
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,46.76%,,54.29%,80.00%,,
QBE UK Limited,QBE INSURANCE GROUP,no,2024-07-01 to 2024-12-31,,,,73.64%,,
Qmetric Group Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,70.67%,,
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,yes,2024-07-01 to 2024-12-31,,100.00%,100.00%,100.00%,100.00%,
Quilter Life & Pensions Limited,QUILTER GROUP,no,2024-07-01 to 2024-12-31,,98.55%,,,96.58%,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2024-07-01 to 2024-12-31,,,,53.56%,,
RBS Collective Investment Funds Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,,59.56%,
ReAssure Life Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,56.77%,,57.14%,57.21%,
ReAssure Limited,PHOENIX GROUP,no,2024-07-01 to 2024-12-31,,53.75%,,57.88%,54.29%,
Reassured Ltd,NO GROUP,no,2024-02-01 to 2024-07-31,,,,33.68%,,
Rothesay Life Plc,NO GROUP,no,2024-07-01 to 2024-12-31,,91.81%,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2024-07-01 to 2024-12-31,,,,50.65%,,
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2024-07-01 to 2024-12-31,,,,30.17%,,
Saga Services Limited,SAGA PLC,no,2024-02-01 to 2024-07-31,,,,15.35%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2024-03-01 to 2024-08-31,48.59%,,67.65%,92.58%,,
Santander UK Plc,SANTANDER UK GROUP,yes,2024-07-01 to 2024-12-31,40.03%,72.50%,30.78%,70.23%,59.26%,
Scottish Equitable Plc,AEGON N.V.,no,2024-07-01 to 2024-12-31,,56.15%,,62.50%,27.78%,
Scottish Friendly Assurance Society Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,85.03%,,81.79%,75.69%,
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,70.28%,,71.95%,72.56%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2024-07-01 to 2024-12-31,,,,,57.47%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2024-07-01 to 2024-12-31,87.04%,,,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2024-07-01 to 2024-12-31,50.96%,,83.15%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2024-07-01 to 2024-12-31,,,,97.08%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2024-07-01 to 2024-12-31,,,,69.03%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2024-07-01 to 2024-12-31,52.92%,97.87%,49.25%,72.73%,88.98%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2024-07-01 to 2024-12-31,,,,64.60%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,42.82%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2024-07-01 to 2024-12-31,,68.74%,,75.00%,69.29%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2024-07-01 to 2024-12-31,0.00%,3.79%,0.00%,3.66%,5.15%,
Starling Bank Limited,NO GROUP,no,2024-04-01 to 2024-09-30,92.47%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2024-07-01 to 2024-12-31,,,,86.50%,,
Suffolk Life Pensions Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,,79.84%,,,,
Swift 1st Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,54.70%,,,
Tandem Bank Limited,NO GROUP,no,2024-07-01 to 2024-12-31,69.66%,,100.00%,,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,2024-07-01 to 2024-12-31,,,,83.93%,,
Telefonica UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,33.55%,,
Tesco Personal Finance Limited,NO GROUP,no,2024-03-01 to 2024-08-31,41.13%,,,58.80%,,
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2024-03-01 to 2024-08-31,,,,50.63%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2024-07-01 to 2024-12-31,13.08%,50.00%,38.38%,33.33%,100.00%,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2024-04-01 to 2024-09-30,,,73.24%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2024-07-01 to 2024-12-31,,98.77%,,57.60%,97.92%,
The Prudential Assurance Company Limited,M&G PLC,yes,2024-07-01 to 2024-12-31,,81.57%,93.55%,85.97%,84.87%,
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2024-07-01 to 2024-12-31,47.09%,14.29%,49.67%,51.43%,53.57%,
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,no,2024-07-01 to 2024-12-31,,63.81%,,60.47%,59.56%,
Topaz Finance Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,60.71%,,,
Tradex Insurance Company PLC,NO GROUP,no,2024-07-01 to 2024-12-31,,,,56.23%,,
Trading 212 UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,100.00%,,,,99.17%,
Triodos Bank UK Limited,NO GROUP,no,2024-07-01 to 2024-12-31,58.55%,,,,65.79%,
TSB Bank plc,BANCO DE SABADELL SA,no,2024-07-01 to 2024-12-31,37.60%,,36.22%,45.83%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2024-07-01 to 2024-12-31,,,,44.76%,,
U.S. Bank Europe DAC,NO GROUP,no,2024-07-01 to 2024-12-31,71.93%,,,,,
UK Mortgage Lending Ltd,NO GROUP,no,2024-07-01 to 2024-12-31,,,62.09%,,,
USAY BUSINESS LTD,NO GROUP,no,2024-07-01 to 2024-12-31,,,,99.20%,,
Utility Warehouse Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,22.96%,,
"Vanguard Asset Management, Ltd",NO GROUP,no,2024-07-01 to 2024-12-31,,32.06%,,,40.79%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2024-07-01 to 2024-12-31,80.43%,,,,,
Virgin Money Unit Trust Managers Ltd,NO GROUP,no,2024-04-01 to 2024-09-30,,99.12%,,,98.80%,
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,2024-07-01 to 2024-12-31,,,,52.47%,,
Vodafone Limited,NO GROUP,no,2024-04-01 to 2024-09-30,,,,32.99%,,
Volkswagen Financial Services (UK) Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,67.44%,,
Wesleyan Assurance Society,NO GROUP,no,2024-07-01 to 2024-12-31,,60.73%,,54.14%,56.25%,
Xbridge Limited,NO GROUP,no,2024-07-01 to 2024-12-31,,,,80.85%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,yes,2024-07-01 to 2024-12-31,60.60%,100.00%,61.72%,100.00%,,
Zempler Bank Limited,NO GROUP,no,2024-04-01 to 2024-09-30,76.65%,,,,,
Zopa Bank Limited,NO GROUP,yes,2024-07-01 to 2024-12-31,44.51%,,,,,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2024-07-01 to 2024-12-31,,76.62%,0.00%,77.47%,82.39%,
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,no,2024-07-01 to 2024-12-31,,,,78.85%,,
abrdn Investments Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,,52.99%,
Accelerant Insurance Europe SA/NV UK Branch,NO GROUP,no,2023-07-01 to 2023-12-31,,,,77.52%,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2023-07-01 to 2023-12-31,34.78%,,54.46%,,,
Accredited Insurance (Europe) Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,55.21%,,
Acm Ulr Limited,BGL GROUP,no,2023-07-01 to 2023-12-31,,,,80.31%,,
Acorn Insurance & Financial Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,80.00%,,
Action 365 Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,75.31%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2023-03-01 to 2023-08-31,,,,5.76%,,
Advanced Payment Solutions Limited,NO GROUP,no,2023-04-01 to 2023-09-30,71.81%,,,,,
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,2023-07-01 to 2023-12-31,,,,64.31%,,
Affinity Insurance Solutions Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,50.31%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2023-07-01 to 2023-12-31,,,,63.91%,,
Ageas Retail Limited,AGEAS SA-NV,no,2023-07-01 to 2023-12-31,,,,57.09%,,
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2023-07-01 to 2023-12-31,64.88%,,86.96%,100.00%,50.00%,
AIG Life Limited,NO GROUP,no,2023-07-01 to 2023-12-31,,,,87.34%,,
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,2023-07-01 to 2023-12-31,,,,86.68%,,
AJ Bell Management Limited,NO GROUP,yes,2023-04-01 to 2023-09-30,,57.57%,,,,
AJ Bell Securities Limited,NO GROUP,no,2023-04-01 to 2023-09-30,73.68%,80.62%,,,65.33%,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2023-07-01 to 2023-12-31,51.33%,,76.71%,,,
Allianz Insurance Plc,ALLIANZ SE,no,2023-07-01 to 2023-12-31,,,,57.96%,,
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2023-07-01 to 2023-12-31,83.96%,,,82.81%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",yes,2023-07-01 to 2023-12-31,,,,57.37%,,
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,yes,2023-07-01 to 2023-12-31,,,,51.65%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2023-07-01 to 2023-12-31,,,,82.54%,,
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,2023-07-01 to 2023-12-31,,,,69.98%,,
